"Data Source: Emailed by R. Alexander (LGL) on Feb 21, 2022. JTP copied the TOTAL columns for each year from tab ""Daily Coho adults"" which are the sum catch of 6 fishwheels. Note that Richard did NOT differentiate between zeros and not fishing.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
7/9/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7/10/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0
7/11/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
7/12/2020,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,1,1,0,0,0,0,0,1,0,0,0,0
7/13/2020,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,2,0,0
7/14/2020,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,2,0,0,0,3,0,1,2,0,0,0,1,0
7/15/2020,0,0,0,1,0,0,0,0,0,0,0,2,1,2,2,0,1,1,3,0,0,0,0,1,1,2,1,3,0,0
7/16/2020,0,0,0,0,1,0,0,0,0,0,0,2,2,0,0,0,1,0,1,0,0,4,0,4,3,2,0,5,0,0
7/17/2020,5,0,0,1,0,0,0,0,0,0,2,0,4,3,4,0,2,3,2,4,0,13,2,7,4,6,0,0,0,0
7/18/2020,5,0,0,2,1,0,0,0,1,0,0,0,5,1,9,0,0,3,3,8,2,18,1,16,9,4,0,0,0,1
7/19/2020,1,0,0,1,1,0,0,0,1,0,0,6,4,2,9,0,8,4,9,3,1,18,2,9,5,12,0,5,2,1
7/20/2020,1,0,0,3,0,0,1,0,0,0,0,5,22,5,13,1,12,5,6,5,2,25,4,4,12,21,2,4,0,1
7/21/2020,0,7,1,2,0,0,0,0,2,0,8,8,10,4,13,0,5,16,14,6,3,34,12,9,13,25,1,5,1,2
7/22/2020,1,7,1,2,2,0,1,0,1,0,14,10,10,13,8,0,7,16,17,11,2,55,16,6,21,25,5,11,3,4
7/23/2020,1,5,1,0,3,0,2,2,6,0,5,32,8,42,15,3,29,27,7,16,7,37,25,16,23,15,4,21,6,10
7/24/2020,1,3,0,0,8,1,1,0,3,0,6,37,32,32,24,3,32,39,13,9,2,68,50,5,37,19,8,22,7,40
7/25/2020,3,7,0,3,10,1,3,6,4,3,3,46,39,37,29,24,45,21,11,12,15,124,25,24,36,45,10,31,13,24
7/26/2020,2,2,1,2,17,6,11,2,4,2,5,50,37,49,25,8,40,51,24,25,15,121,53,22,66,55,19,36,17,40
7/27/2020,5,1,5,9,19,2,16,7,4,5,13,64,62,48,24,29,42,83,39,24,15,80,72,30,84,56,23,34,18,75
7/28/2020,2,10,16,4,27,14,13,4,10,7,22,103,62,33,56,35,55,95,40,19,17,154,98,26,111,47,30,34,23,110
7/29/2020,5,4,13,11,43,7,20,2,5,20,44,94,70,38,111,41,46,88,52,28,32,232,106,12,139,116,26,61,28,111
7/30/2020,7,1,27,1,30,13,28,16,27,41,69,140,84,108,99,72,78,44,72,65,41,202,71,67,135,101,7,67,108,168
7/31/2020,7,0,22,11,40,21,25,46,30,61,70,136,119,146,114,64,72,74,140,76,61,183,137,45,216,193,51,112,93,184
8/1/2020,15,0,11,10,49,12,45,61,39,77,67,103,206,171,176,105,117,60,126,101,118,158,191,23,292,454,49,148,53,152
8/2/2020,41,7,31,9,64,20,34,53,54,149,71,113,148,177,252,130,133,95,205,140,163,244,300,54,340,613,52,197,29,86
8/3/2020,29,31,21,6,48,13,33,107,188,159,123,188,125,125,236,157,169,363,230,142,189,400,512,112,227,627,31,136,63,58
8/4/2020,15,42,15,15,94,19,47,56,438,166,197,176,181,109,270,154,267,484,308,185,214,415,587,234,256,825,97,146,103,255
8/5/2020,20,16,8,16,83,4,27,72,335,139,334,162,310,175,254,260,298,789,307,98,203,544,495,103,301,589,122,221,76,60
8/6/2020,29,21,133,19,135,18,42,47,229,97,360,275,299,141,349,203,351,700,376,139,364,492,492,191,457,394,175,235,45,84
8/7/2020,38,42,117,73,114,14,24,49,373,305,258,307,78,215,273,161,379,776,318,112,540,436,445,219,319,426,171,195,88,200
8/8/2020,46,8,77,93,94,35,46,53,389,517,228,151,362,245,225,175,307,636,312,174,609,511,473,190,380,417,131,197,230,386
8/9/2020,32,27,150,77,102,45,41,114,222,899,90,230,1030,233,258,267,310,662,720,112,439,412,410,211,302,577,176,186,156,620
8/10/2020,28,47,381,67,43,44,20,136,255,984,92,264,770,263,405,327,355,227,674,109,506,537,257,235,509,562,54,456,213,437
8/11/2020,45,11,706,30,112,53,39,157,191,652,223,254,631,347,338,378,377,464,562,77,922,588,116,267,391,458,92,408,194,486
8/12/2020,16,6,535,80,86,24,41,203,225,1032,466,394,458,209,310,368,356,436,676,89,919,468,183,95,361,549,256,452,267,138
8/13/2020,28,4,466,86,114,34,81,139,202,1179,268,345,510,162,391,398,311,442,579,67,854,301,260,58,643,704,381,462,441,258
8/14/2020,8,10,378,58,65,21,44,139,156,872,148,436,564,306,403,425,104,413,607,58,887,432,397,162,761,596,181,483,390,118
8/15/2020,3,8,311,80,77,35,29,138,183,891,429,381,382,294,460,364,82,466,495,91,661,382,728,303,749,840,319,349,139,139
8/16/2020,4,7,314,48,93,106,208,121,157,656,763,298,234,146,555,410,265,697,650,36,636,409,794,381,464,532,306,378,39,199
8/17/2020,1,10,278,68,103,120,200,139,136,634,780,191,293,325,442,302,263,728,564,55,472,537,760,363,737,323,137,569,0,1007
8/18/2020,0,4,386,55,52,32,163,173,104,497,861,247,235,491,357,161,474,529,592,93,559,524,509,214,777,117,196,201,0,788
8/19/2020,6,7,151,106,136,57,172,113,222,563,860,284,266,523,380,98,558,664,480,80,553,368,1028,146,740,140,192,93,0,728
8/20/2020,3,7,312,56,237,38,213,123,164,548,699,950,342,184,391,394,599,650,426,66,501,460,901,138,352,619,188,146,13,826
8/21/2020,2,1,244,53,124,66,185,164,104,311,621,500,697,66,301,409,554,452,314,23,412,514,665,168,400,612,215,34,64,555
8/22/2020,0,6,259,40,182,45,105,123,22,190,407,433,494,228,216,487,854,863,189,0,455,386,493,219,669,1359,180,0,93,342
8/23/2020,1,7,195,44,53,38,90,212,0,384,202,541,338,886,189,430,844,741,181,0,435,361,441,209,541,347,157,43,65,225
8/24/2020,1,5,290,85,85,59,89,191,19,457,54,311,451,1283,166,440,287,633,81,12,360,342,381,186,460,452,200,123,4,328
8/25/2020,4,2,122,40,216,49,80,211,50,609,142,149,258,1278,157,292,22,511,172,43,394,315,327,231,496,1135,188,303,388,211
8/26/2020,7,6,138,65,163,37,80,276,25,255,245,134,195,844,143,415,64,663,320,159,246,283,334,175,250,1152,166,1319,1074,151
8/27/2020,2,3,158,67,136,40,53,199,115,0,138,132,162,716,130,386,353,641,193,481,294,304,460,145,221,535,106,1334,887,161
8/28/2020,5,6,86,32,98,38,93,115,441,20,44,102,124,844,121,358,694,424,145,432,241,286,370,67,294,859,85,1234,947,26
8/29/2020,6,0,107,68,120,14,45,146,742,466,25,128,235,678,134,195,842,627,151,332,209,212,391,99,237,876,66,1539,575,32
8/30/2020,12,7,71,63,92,70,15,265,435,872,505,151,173,723,180,184,1053,525,104,318,242,196,345,137,171,855,87,898,691,53
8/31/2020,5,6,83,61,98,57,60,323,388,960,511,157,106,548,166,145,1030,624,68,370,176,197,277,50,180,408,108,754,584,33
9/1/2020,11,1,36,19,69,82,102,157,221,1582,523,109,95,131,167,284,623,536,86,303,216,184,206,133,195,477,77,532,381,38
9/2/2020,11,8,70,24,90,23,99,155,202,456,471,47,68,92,176,270,284,394,100,186,174,197,331,180,208,522,75,397,172,24
9/3/2020,8,3,56,43,62,7,129,81,158,239,635,30,44,103,145,237,251,310,58,198,128,157,365,190,263,709,106,247,229,15
9/4/2020,2,6,21,28,106,4,132,93,122,504,1004,27,53,73,0,148,177,288,9,111,141,136,227,204,337,505,90,205,305,10
9/5/2020,0,0,51,0,41,0,111,95,107,1456,729,23,88,78,0,161,105,317,41,97,164,76,220,76,203,408,32,176,233,16
9/6/2020,0,5,53,0,33,0,46,104,97,1120,284,0,65,44,0,155,51,143,155,78,149,78,258,36,115,278,23,125,173,10
9/7/2020,0,9,45,0,45,0,66,100,62,695,262,0,47,43,0,227,0,130,136,0,134,56,79,27,77,174,25,113,184,25
9/8/2020,0,4,18,0,21,0,66,64,88,343,74,0,40,39,0,192,0,167,155,0,91,67,74,22,66,106,8,87,202,35
9/9/2020,0,8,0,0,11,0,53,128,88,237,101,0,34,24,0,166,0,122,119,0,112,52,60,32,29,31,13,41,132,38
9/10/2020,4,2,19,0,6,0,73,157,135,180,0,0,25,71,0,142,0,93,103,0,92,51,121,15,0,0,1,43,126,23
9/11/2020,7,5,0,0,10,0,44,131,97,87,0,0,0,82,0,131,0,95,57,0,53,53,73,11,0,0,7,26,101,1
9/12/2020,6,0,0,0,3,0,54,98,107,52,0,0,0,48,0,106,0,115,79,0,55,41,77,0,0,0,3,22,66,0
9/13/2020,3,4,0,0,4,0,52,83,60,38,0,0,0,63,0,91,0,0,50,0,41,21,50,0,0,0,3,14,0,0
9/14/2020,0,0,0,0,10,0,38,36,61,37,0,0,0,38,0,8,0,0,41,122,35,0,0,0,0,0,7,0,0,0
9/15/2020,0,0,0,0,8,0,53,39,43,0,0,0,0,33,0,9,0,0,36,70,35,0,0,0,0,0,4,0,0,0
9/16/2020,0,0,0,0,6,0,21,50,41,0,0,0,0,46,0,21,0,0,39,59,0,0,0,0,0,0,0,0,0,0
9/17/2020,0,0,0,0,10,0,10,38,5,0,0,0,0,0,0,17,0,0,29,21,0,0,0,0,0,0,0,0,0,0
9/18/2020,0,0,0,0,5,0,4,34,0,0,0,0,0,0,0,13,0,0,16,0,0,0,0,0,0,0,0,0,0,0
9/19/2020,0,0,0,0,5,0,4,25,0,0,0,0,0,0,0,2,0,0,9,0,0,0,0,0,0,0,0,0,0,0
9/20/2020,6,0,0,0,5,0,4,19,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0
9/21/2020,0,0,0,0,3,0,0,20,21,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
9/22/2020,0,0,0,0,6,0,0,25,24,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0
9/23/2020,0,0,0,0,0,0,1,8,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9/24/2020,0,0,0,0,0,0,0,27,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9/25/2020,0,0,0,0,0,0,3,57,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9/26/2020,3,0,0,0,0,0,1,39,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9/27/2020,0,0,0,0,0,0,4,5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9/28/2020,0,0,0,0,0,0,3,4,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9/29/2020,0,0,0,0,0,0,1,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9/30/2020,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10/1/2020,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10/2/2020,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10/3/2020,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10/4/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10/5/2020,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10/6/2020,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10/7/2020,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10/8/2020,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10/9/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10/10/2020,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10/11/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10/12/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10/13/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
